0.006320,0.005310,,,,
0.000400,0.000350,,,,
0.000280,0.000220,,,,
0.000210,0.000160,,,,
0.000180,0.000130,,,,
0.000160,0.000110,,,,
0.000140,0.000110,,,,
0.000130,0.000100,,,,
0.000120,0.000090,,,,
0.000090,0.000080,,,,
0.000100,0.000090,,,,
0.000100,0.000080,,,,
0.000130,0.000100,,,,
0.000200,0.000130,,,,
0.000300,0.000150,,,,
0.000400,0.000190,,,,
0.000500,0.000230,,,,
0.000610,0.000270,,,,
0.000740,0.000300,,,,
0.000870,0.000340,,,,
0.001010,0.000370,,,,
0.001130,0.000400,,,,
0.001240,0.000440,,,,
0.001290,0.000470,,,,
0.001310,0.000490,,,,
0.001320,0.000520,,,,
0.001350,0.000550,,,,
0.001360,0.000570,,,,
0.001390,0.000600,,,,
0.001420,0.000640,,,,
0.001470,0.000660,,,,
0.001490,0.000700,,,,
0.001530,0.000740,,,,
0.001570,0.000800,,,,
0.001610,0.000850,,,,
0.001660,0.000910,,,,
0.001720,0.000990,,,,
0.001790,0.001060,,,,
0.001860,0.001140,,,,
0.001940,0.001210,,,,
0.002030,0.001310,,,,
0.002160,0.001410,,,,
0.002300,0.001520,,,,
0.002490,0.001650,,,,
0.002700,0.001800,,,,
0.002940,0.001950,,,,
0.003210,0.002120,,,,
0.003520,0.002320,,,,
0.003850,0.002550,,,,
0.004230,0.002780,,,,
0.004640,0.003060,,,,
0.005060,0.003330,,,,
0.005510,0.003610,,,,
0.006000,0.003890,,,,
0.006500,0.004180,,,,
0.007030,0.004480,,,,
0.007580,0.004820,,,,
0.008140,0.005150,,,,
0.008660,0.005450,,,,
0.009200,0.005770,,,,
0.009770,0.006110,,,,
0.010390,0.006520,,,,
0.010980,0.006960,,,,
0.011550,0.007460,,,,
0.012120,0.008010,,,,
0.012760,0.008650,,,,
0.013470,0.009350,,,,
0.014270,0.010120,,,,
0.015140,0.010960,,,,
0.016090,0.011880,,,,
0.017170,0.012930,,,,
0.018320,0.014080,,,,
0.019480,0.015260,,,,
0.020640,0.016440,,,,
0.021800,0.017650,,,,
0.023090,0.019020,,,,
0.024470,0.020550,,,,
0.025860,0.022170,,,,
0.027190,0.023870,,,,
0.028490,0.025620,,,,
0.029810,0.027550,,,,
0.031100,0.029540,,,,
0.032240,0.031370,,,,
0.033130,0.033000,,,,
0.033770,0.034460,,,,
0.034130,0.035780,,,,
0.034150,0.036980,,,,
0.033780,0.037970,,,,
0.032950,0.038630,,,,
0.031630,0.038810,,,,
0.029790,0.038390,,,,
0.027470,0.037280,,,,
0.024750,0.035470,,,,
0.021730,0.032960,,,,
0.018550,0.029900,,,,
0.015300,0.026300,,,,
0.012180,0.022420,,,,
0.009360,0.018530,,,,
0.006940,0.014820,,,,
0.004990,0.011500,,,,
0.003490,0.008720,,,,
0.002390,0.006460,,,,
0.001590,0.004660,,,,
0.001030,0.003260,,,,
0.000640,0.002220,,,,
0.000390,0.001460,,,,
0.000220,0.000920,,,,
0.000130,0.000560,,,,
0.000070,0.000320,,,,
0.000030,0.000180,,,,
0.000020,0.000090,,,,
0.000000,0.000050,,,,
0.000010,0.000020,,,,
0.000000,0.000010,,,,
0.000000,0.000000,,,,
0.000000,0.000000,,,,
0.000000,0.000000,,,,
0.000000,0.000000,,,,
0.000000,0.000000,,,,
0.000000,0.000000,,,,
